voter_id,vote,age,sex,voting_method,neighborhood
2211,"344,1027,210,1644|1949|641,1619,637,1072,643|1534,1075,645,1501",37,F,internet,Ursynów Północny
2213,"641,210,1072,1644|344|1787,637,1619|645,639|643,1075|1534,1027|1018",36,M,internet,Ursynów Południowy
2231,"639,210|1075|643,1644,344,1018,1043|1027,1603,1501|1619,1949,637,1462,1534|1072",38,F,internet,Ursynów Południowy
2235,"639,1018,1072,1534|344,210",33,M,internet,Zielony Ursynów
2240,"645,1534,1787,1018,641|637,1072,1462,1501,344|1027,1043,210|643,1619",34,F,internet,Ursynów Północny
2244,1787,67,F,internet,Zielony Ursynów
2278,1787,33,F,internet,Ursynów Południowy
2309,"1619,1462,1072,643,1534|210,1018,1043,645,1603|1027,344|1787,641|637,1949|1501",39,F,internet,Ursynów Północny
2341,637,71,F,internet,Ursynów Północny
2351,"1619,1043|643,639|1603,1534,645,1018,344|926,1072|637|1644,210,1501,1027|641",34,F,internet,Zielony Ursynów
2381,"1043,1603|1501|639,1027,1462|1644|1534,344,210,637|1075|643,1072",27,M,internet,Zielony Ursynów
2409,"210,645,639,641|926,344,1072|637|1027,643|1018,1075",37,F,internet,Zielony Ursynów
2413,"641,637,1534,1644,1603|210,1462,639,1072|344,1043,645,643",22,M,internet,Zielony Ursynów
2425,"1787,344,645,1043,643|637,1075,926,1462,1619|210,1644|1027,1534,639,1949,1501|1072",34,M,internet,Zielony Ursynów
2435,"639,1603,344|1027,1462,1072",24,M,internet,Ursynów Południowy
2449,"210,344,1619,1027|1075,1072,643,639,1644|1043,1534,637",30,M,internet,Zielony Ursynów
2464,"1027,643,1018,1072,344|1534,210",35,F,internet,Ursynów Północny
2473,"1027,1072,1619|1075,210,1949,1462|643,645,1534,1787,344",29,F,internet,Ursynów Południowy
2483,"1072|926,1619,344,1027|1534,1644,1462|643,1501,210,639,637",41,M,internet,Ursynów Północny
2497,"1462,1534,1043,1072|643,210,344,1075,637|926",60,F,internet,Ursynów Południowy
2506,344|1534|1787,34,M,internet,Ursynów Północny
2577,"210,643,344",38,F,internet,Zielony Ursynów
2580,344|210,34,M,internet,Ursynów Północny
2594,"1072,1949,643,645,637|1534,344",42,F,internet,Zielony Ursynów
2596,"645|1644,1603,1018,926,1787|210,1949|637,639,643|1072,641,344,1619|1027,1075,1534",61,F,internet,Ursynów Północny
2606,"1462,1534,1619,1072,645|1949,637,639|344,1027|1644,210",43,M,internet,Ursynów Północny
2621,210|344,26,M,internet,Ursynów Północny
2669,"1534,1072,641|1501,1619,637|1603,210|1787,639,344,643,1027|1462,645,926,1644,1949",26,F,internet,Ursynów Południowy
2720,"637|210,641,1072|1075,643,1534,344,1644|1027",73,F,internet,Ursynów Południowy
2727,"1462,1075,637,1018,1644|1027|645|1072,1534,1603,344|643,210,639",38,F,internet,Ursynów Południowy
2731,"643,1027,344|639,210|637|1534,1644",40,F,internet,Ursynów Południowy
2753,"1075,210,1462,637|645,1072,643,344|639,1619|1644,1018,1534,1027",31,F,internet,Ursynów Północny
2818,"1787,637,1462,1619,639|1534,1018|344,641|1072,643|1644,926,1603,210|1027",34,F,internet,Ursynów Północny
2823,"643,1644,645|641,637|639,1027,1018,1949,1534|1787,1075|1462,1072,344,210,1619|1043,1603",30,M,internet,Ursynów Północny
2836,"1534,1072,643,210,344|1027",24,M,internet,Ursynów Północny
2847,"645,1027|643,1644,344,210",25,M,internet,Ursynów Południowy
2871,"210,1075,344|1072,645,1644|1619,639,1534,637|1787,1027",40,M,internet,Ursynów Południowy
2875,"639,637|210,643,1075,344|1027,1072,1462",37,F,internet,Ursynów Północny
2885,"643,210,639,1462,1075|344,1043,641",40,F,internet,Ursynów Północny
2888,"926,344|1534,643,1043",39,F,internet,Ursynów Północny
2905,"643,1534,637,1462|344|639,1043,1027,210,641",37,F,internet,Ursynów Południowy
2931,"210|637,1534,344|1462",65,M,internet,Ursynów Południowy
2974,1018,36,M,internet,
3000,"210|643,926,1534,1072,344|1619,1075,1501|1462|1027,1603|1043",22,M,internet,Ursynów Południowy
3032,"344,210|1075,637|1027,1072,1534,643,1462",24,F,internet,Ursynów Północny
3041,"1787,1534,645,1644,639|1619,1603,1462,1043,637|210,1072|344|1027,643,1501",31,F,internet,Ursynów Południowy
3044,"1027,1534,210,645,1619|643,1462,1072",41,F,internet,Ursynów Południowy
3069,"1075,641|1619,1949|1534|210,926|344,1027,1644,1603,643",25,F,internet,Ursynów Południowy
3116,643,49,F,internet,Ursynów Południowy
3127,"210,344,1534,1027|643,1501|1603,645",34,F,internet,Ursynów Południowy
3135,"210,1644,639,1018,1534|926,645,1462,344,1603|643,1072",38,F,internet,Ursynów Północny
3150,"1619,1072|1027,1018,1534",30,M,internet,Ursynów Południowy
3154,"1027,344,1043,1018|1462,643,641,210,1534|637,1501",43,F,internet,Ursynów Północny
3157,1027,35,F,internet,Zielony Ursynów
3162,"1462,210,1534,344|643,1644,1075,639|637",40,M,internet,Ursynów Południowy
3166,"1534,1072,637,1949,1501|1619,1462,1603|210|344|643,1027",39,M,internet,Ursynów Południowy
3169,"1462,641,1787|1043,1018,1501,1027,643|637,1949,926|1075,210,344,1534,645|1603|1072,639",30,F,internet,Ursynów Południowy
3227,"645|210,637,1072|1619|1027,639,344,1534|643,1462,1501,1043,1644|1075,926",55,F,internet,Zielony Ursynów
3242,"344,1018,1072,210",26,M,internet,Ursynów Południowy
3272,"344,643,1644|210|1534",40,M,internet,Ursynów Północny
3281,"643,1043,1949|1603,1462|344|210,1534,1075|1072,1018,637|645,1619,1644|641|1027",26,F,internet,Ursynów Północny
3290,"210,643|1949,1462",33,M,internet,Ursynów Południowy
3321,"926|1072,645|1619,643,1027",35,F,internet,Ursynów Południowy
3325,"1534,210|637|1027,1072|643,639,344|1075|1043",36,M,internet,Ursynów Południowy
3327,"637,639|344,641,1501,1462,1619|643",31,M,internet,Ursynów Południowy
3344,"643|1619,1603|639,1534,210,1043|1072|926,1644,637|344,1027",63,F,internet,Ursynów Południowy
3349,"344,1075,639|1644,1462,210|643,1534|1603,1027",45,F,internet,Ursynów Południowy
3359,1027,40,F,internet,Ursynów Północny
3360,"1072,643,210|1018|344,1644,645,1501|1462",42,F,internet,Ursynów Południowy
3363,"344,1075,1018,637",49,F,internet,Zielony Ursynów
3379,"1027,1534,643|1075,210,637|1462|639,926,1072",26,F,internet,Ursynów Północny
3422,"1027,344,1072,639|1534,1644|1462,210",25,M,internet,Ursynów Południowy
3435,1027,33,F,internet,Ursynów Północny
3436,"639|1949|1075|210|1072,1027,344,637,1462|1644,1018,1534",35,M,internet,Ursynów Południowy
3437,"1462,639,1949|1027|1619,1072|645,210,643,1043|1603,641|344|1534,1644,637|1075,1787",25,F,internet,Ursynów Północny
3466,344,39,F,internet,Ursynów Północny
3490,344,31,M,internet,Ursynów Południowy
3515,"344,1072|210",28,F,internet,Ursynów Południowy
3517,"1619,344,641,639|1644,1462,1072,1603,1501|210,1075|637,1027,643,1534,1787|1043",53,F,internet,Zielony Ursynów
3537,344,60,F,internet,Zielony Ursynów
3538,"1027,344|643,1619,1534,1603,1072|1075",32,F,internet,Zielony Ursynów
3545,"1619,639|1072,1027,1075,344,1018|641,1534,1043,643,637|210,1787",53,M,internet,Ursynów Południowy
3577,1949,45,F,internet,Zielony Ursynów
3593,"344,1043,1603,1027,1619|1534,1462,639,926|637,641,1644|1787|1018,210|1949,1072",30,M,internet,Ursynów Południowy
3609,"1072|1644,645,641,1075|210,643,1462|344",33,F,internet,Ursynów Południowy
3619,"344|1619|1534,637,643,210",35,F,internet,Ursynów Południowy
3624,"1075,1027,645|926,210|1462,344,641|643,639",32,F,internet,Ursynów Północny
3628,344,33,F,internet,Ursynów Południowy
3663,"1949,1072,645,1501|1027,1043,926|637,1787,1534,1018,344|641,643,639|1619,210,1603",33,F,internet,Ursynów Południowy
3674,"1072,344,210,637,645|1534,1027|1043|1644,643",32,F,internet,Ursynów Północny
3688,"1603,645|1075",32,M,internet,
3703,"1619,1787,1018|926,344,643,1027|645,639,637|1534|1075,1603|210|1644,1072,641,1949",85,F,internet,Ursynów Północny
3732,"1462,1072,637,1501,641|1644,639|210,645,1619,1018,1603|643|1534|1949|1027|926,344",62,F,internet,Ursynów Północny
3735,643,53,F,internet,Ursynów Południowy
3787,"1072|1787,637,1018|643,645,1619|1603,1027,926|210,639,344|1462,1534,641|1644",62,F,internet,Ursynów Północny
3789,"1027,1462,210,639,1534|344,637,645",30,F,internet,Ursynów Północny
3810,"1018,641,637,1027|1075,1949,1072,643,344|926,1644",59,F,internet,Ursynów Północny
3824,"1043|641,1027|637,1787,643,1075|1501,1603|1644,926,1619|639,1018,645|344|1462",36,F,internet,Ursynów Południowy
3839,"1027|1075,1018|1072,639,643,1534|641|210,1644,344,637,1043",26,F,internet,Ursynów Południowy
3855,"1027|1501,1603,1072|637,210,639,1787|1949,643,1075,1619,926|645,1534,1043,344,641",39,F,internet,Ursynów Północny
3871,"1787|344,1043,645|1027,643,1462,1018,1072|1534,1644,637|1949,641|639,210",25,F,internet,Ursynów Południowy
3905,"926,210,643,1619|639,1462|344,1534,641|637,1075,1644|1027,1072",30,M,internet,Ursynów Północny
3909,"344,1619",44,M,internet,Ursynów Południowy
3911,"643,1027,344",44,F,internet,Ursynów Południowy
3920,"344,639,210|645,1534,1644",37,M,internet,Ursynów Południowy
3923,210,36,M,internet,Ursynów Południowy
3936,"641,1534,1072,639|645,1027|1603|210,1018,1644,1075,1949|643|344,637",18,M,internet,Ursynów Południowy
3943,"645,1603,643,1075|926,344,210,1619,1072|1018,1787|1027,1534|1043",32,F,internet,Zielony Ursynów
3953,"643,210,1027",31,F,internet,Ursynów Południowy
3955,"1603,1619,926,210|637,1462,1072,1027|1043,643,1534",34,M,internet,Zielony Ursynów
3971,"1072,1027,210|1534,344,643,1075|645",61,F,internet,Ursynów Południowy
3973,"1072,344",38,F,internet,Zielony Ursynów
3979,"1018,1075,1949,1534|1027,639,344,1644,637|1603|1043|643,1619,1462|641|1787,1072|645|926|210",34,M,internet,Zielony Ursynów
3985,"1027,645|344,210,641,1043|1072,643",31,F,internet,Zielony Ursynów
3988,"1534,1072|344",28,F,internet,Zielony Ursynów
3998,643,19,F,internet,Ursynów Południowy
3999,"344|210,643,926,1462",40,M,internet,Ursynów Północny
4014,"1534,344",39,F,internet,Ursynów Północny
4033,1027,43,F,internet,Ursynów Południowy
4034,"1534,1027,344,643",36,M,internet,Ursynów Północny
4036,"1075,210,1027,639,1534|1072|344,1619,643",59,F,internet,Zielony Ursynów
4058,"1619,1462,344,1075,1027|1018,641,639,1603,637|1072,210,1787|1043,643",32,M,internet,Ursynów Południowy
4059,"1027,210,645,344|1787,1462,637|643,641|1072,1949,1534",34,F,internet,Ursynów Północny
4067,"1027|344|1018,643,1534|1043,1619",36,F,internet,Zielony Ursynów
4072,641,64,F,internet,Ursynów Północny
4073,"1619,1072,1534|1027|210,344,643",41,F,internet,Zielony Ursynów
4078,"639,1027,210,637,1534|926|1501,1072,1644,344,1075",39,M,internet,Ursynów Północny
4092,"1072,1534,1949,639|645,641|210|1603,344,1644,1619|1043,1018,1027,1462|643,1075",26,F,internet,Ursynów Północny
4097,"1075,210",22,M,internet,Zielony Ursynów
4111,210,31,M,internet,Zielony Ursynów
4135,1027|344,30,F,internet,Zielony Ursynów
4145,"344,1027,643|210,926",33,F,internet,Zielony Ursynów
4156,"1534|1027|1072,926,344,210,1075|643",33,M,internet,Ursynów Południowy
4158,"643|210|1787,344|1534",26,F,internet,Ursynów Południowy
4202,"1075,1018,1787|639,1043,1462,1027,1072|643,637,1644|210|344,1949|1534,926,1603,641|1619|645",35,M,internet,Zielony Ursynów
4206,"210,1027,1075|643,1619,637,344,1534",33,F,internet,Zielony Ursynów
4214,"637|926,1027,1644,344,1072|1534,1462,210|639",36,F,internet,Zielony Ursynów
4216,"210|1787,344,1644,643",67,M,internet,Ursynów Północny
4218,"643|645,1949,210",62,F,internet,Ursynów Północny
4224,"1619,1534,926,344,1072|1787,1027,639,1075,1949|1603|637,210,643",34,F,internet,Zielony Ursynów
4239,"1027,344,210|1787,1075|1072,1534,645,1619,643|1644,637|926",43,F,internet,Ursynów Północny
4271,"639,637|641,1501,210",35,F,internet,Ursynów Północny
4274,1501,24,M,internet,Ursynów Północny
4283,"1462|643,1027,641,637|1072,1075,344,210",36,F,internet,Zielony Ursynów
4288,"1949,1075,344",31,M,internet,Zielony Ursynów
4311,"645,641,344|643,1072",30,F,internet,Ursynów Północny
4314,344,17,M,internet,Ursynów Północny
4338,"639,1534,641,1075|1027,1018,645,210|1949|344,1043,1072|637,1787,1462|643",42,F,internet,Ursynów Północny
4347,643,32,F,internet,
4372,1534,39,F,internet,Ursynów Południowy
4421,"643|210|1075|344,637|1619,639,1534",44,F,internet,Ursynów Północny
4462,"1949,641,643|1027,1534,344,210",29,F,internet,Zielony Ursynów
4477,"1027,344|210,637,639,1644,643|1043,1462,1534,1072,1075",26,M,internet,Ursynów Południowy
4486,1018|645|344,33,F,internet,Zielony Ursynów
4509,"643,344|645,1043,1949|1018,210|639,1027,637,1644,1534|1075,1072,1619",30,M,internet,Ursynów Północny
4526,"344,1462,643",25,F,internet,Zielony Ursynów
4549,"344,643,1018,1462|210,1027,1644|1534,1072,926|637",20,M,internet,Ursynów Północny
4551,"1534,1027|1501,1072,637,344|643",42,M,internet,Ursynów Północny
4562,"1603,210,1027|1075,926,1018,639|1534,637,1072,1644|344,1787,643,645|1619,641",30,F,internet,Ursynów Północny
4583,"344,637|1534,210,1619,1072|1027,1043|639,643|1501",30,F,internet,Zielony Ursynów
4587,643,43,M,internet,Zielony Ursynów
4599,"1072,1043|1462,1018,1501,344|1075|1619,1027,639,637|643,926,1534,1603|210",32,M,internet,Ursynów Południowy
4616,"641,1644",62,M,internet,Ursynów Południowy
4648,641,30,M,internet,Zielony Ursynów
4654,"1072,643,344,1018,926|1462|1027,1644,645|637,210,641|1534",37,M,internet,Zielony Ursynów
4701,"1534,1501,1619,637,1072|1603|643,926|1644,210",33,M,internet,Zielony Ursynów
4722,"643,344,210,639,1534|1027,1462,1644|1619,637",68,F,internet,Ursynów Południowy
4734,"1619,1534|210,344,643,1072|1043",35,M,internet,Zielony Ursynów
4747,"1462,1027,643,1501,641|344|1644,1075,1072|1603,1534",41,F,internet,Ursynów Północny
4755,"1043,210,1018|1072,1644,344,1534,645|641,637",67,M,internet,Ursynów Północny
4766,"1603,1018|344|1619,1075,637,1501,1027|643|1949,210|1462,1534,1043,1072",41,F,internet,Ursynów Południowy
4800,1462,49,F,internet,Ursynów Północny
4807,"1619,344",39,F,internet,Zielony Ursynów
4821,"643,1075,1072,1949,1462|1027,344|1501,1534",38,F,internet,Ursynów Południowy
4835,"1644|210,1534,643|1072|344|1043,1462,639,1075,1027|637",26,F,internet,Ursynów Południowy
4838,"344,1603|926,1075,1501|1644,1534,1027,1619|1462|210|639,637,643|1072,641",41,F,internet,Ursynów Północny
4863,"643,637,1787,210|645,344,1072|641,1075,1619|1534,1462,1018|1027,1949,1644",34,F,internet,Ursynów Południowy
4912,"1949,1027,639|1501,641,637|1075,1644,344,210,1619|1534,1072",27,F,internet,Ursynów Północny
4915,"645,344,1072",38,F,internet,Ursynów Północny
4985,643,49,F,internet,Ursynów Południowy
4994,"643,344",40,M,internet,Ursynów Północny
4997,"210,637,344|1462,1534",61,F,internet,Ursynów Południowy
5004,"643|210,1619,1018|926,1787,1949|1462,1603,1027,1072",27,M,internet,Ursynów Północny
5010,"1534|210,1072,344,1027",41,M,internet,Ursynów Południowy
5031,"643,1603|639,926,1027|637|1043,210,1072,1534|641,1075,1787,1462,344|1619",31,F,internet,Ursynów Północny
5033,"643,1075",33,F,internet,Zielony Ursynów
5036,"926|1072,1534,1619|210",63,F,internet,Ursynów Południowy
5054,"344,1787,1644|643,637,1619,645|1949",36,F,internet,Ursynów Północny
5057,"1534,639,1603,210|344,643",29,M,internet,Ursynów Południowy
5098,"210|1027,1462,643,1534|1043,1072,1075,1018,637|1619,344",35,F,internet,Ursynów Południowy
5100,"1501|1534,643,1603,344,1619",41,F,internet,Zielony Ursynów
5103,"1027,926,344|637,1072|1462,210,1644,1534",32,F,internet,Ursynów Północny
5125,"1534,643,1619,1787|1027,210,344",34,F,internet,Ursynów Północny
5136,637,38,M,internet,Ursynów Południowy
5149,"344|643|1534|1644,1501,210",37,F,internet,Ursynów Północny
5150,"1027,643,1534|344",25,F,internet,Zielony Ursynów
5155,"1018|637|1072,210|1027|1534,645,1619|643,1787,344,1043,1603",28,M,internet,Ursynów Północny
5181,"1619,344",27,F,internet,Zielony Ursynów
5182,"1018,641|210|1462,643,1534,1027|1619,344,645,1644",66,F,internet,Ursynów Północny
5186,"344,1462|1027",46,F,internet,Ursynów Północny
5255,"645,1075|210,1534,1462",30,M,internet,Ursynów Południowy
5259,"1619,210,1603|1501,1043|1462,1644,1072|639|1027,637,1075,1949|1018|1787|1534,641,645,344",63,M,internet,Ursynów Północny
5267,"1534|344,210,643,641|1027",57,F,internet,Ursynów Południowy
5300,"1644,344,1072|1501,1462",23,M,internet,Ursynów Północny
